,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
727,38,175000,10,6,30,0.5,0,-3,-8,38,-3,0,0,0,36-40,"N101,000 - N250,000",Bank H,Male,Bank D,Aba,Bachelor's Decree,Private Sector Employee,No,,
728,38,175000,8,6,30,0.5,0,35,8,88,-3,5,0,0,36-40,"N101,000 - N250,000",Bank D,Male,Bank D,Aba,Bachelor's Decree,Private Sector Employee,No,,
729,38,175000,4,6,30,0.5,0,-4,8,57,-3,6,-6,0,36-40,"N101,000 - N250,000",Bank B,Male,Bank D,Aba,Bachelor's Decree,Private Sector Employee,No,,
730,38,175000,3,6,30,0.5,0,23,-8,97,-3,4,12,0,36-40,"N101,000 - N250,000",Bank C,Male,Bank D,Aba,Bachelor's Decree,Private Sector Employee,No,,
750,38,75000,15,6,30,0.5,30,36,10,60,0,0,0,1,36-40,"N50,000 - N100,000",Bank B,Male,Bank B,Aba,OND/HND,Self Employed,No,,
751,38,75000,10,6,30,0.5,30,18,30,33,0,0,0,1,36-40,"N50,000 - N100,000",Bank A,Male,Bank B,Aba,OND/HND,Self Employed,No,,
754,33,25000,6,6,6,0.5,2,13,10,100,27,60,0,3,31-35,"Below N50,000",Bank N,Female,Bank N,Aba,OND/HND,Unemployed,No,,
766,33,75000,9,6,6,0.5,30,12,60,60,40,15,20,1,31-35,"N50,000 - N100,000",Bank B,Male,Bank B,Aba,OND/HND,Civil/Public Servant,No,,
767,33,75000,2,6,6,0.5,30,18,40,12,40,0,20,1,31-35,"N50,000 - N100,000",Bank P,Male,Bank B,Aba,OND/HND,Civil/Public Servant,No,,
769,33,75000,3,6,6,0,0,-12,8,-20,30,0,0,0,31-35,"N50,000 - N100,000",,Female,,Aba,No Formal Education,Self Employed,Yes,,Bank N
770,33,75000,2,6,6,0,0,-12,8,-10,30,20,8,0,31-35,"N50,000 - N100,000",,Female,,Aba,No Formal Education,Self Employed,Yes,,Bank N
773,38,75000,14,6,30,0.5,30,36,10,60,0,0,0,1,36-40,"N50,000 - N100,000",Bank P,Male,Bank P,Aba,OND/HND,Self Employed,No,,
774,38,75000,7,6,30,0.5,30,18,30,33,0,0,0,1,36-40,"N50,000 - N100,000",Bank A,Male,Bank P,Aba,OND/HND,Self Employed,No,,
775,38,75000,14,6,30,0.5,30,36,10,60,0,0,0,1,36-40,"N50,000 - N100,000",Bank O,Male,,Aba,OND/HND,Self Employed,No,,
776,38,75000,3,6,30,0.5,30,18,30,33,0,0,0,1,36-40,"N50,000 - N100,000",Bank M,Male,,Aba,OND/HND,Self Employed,No,,
778,38,25000,6,30,6,0,0,24,18,81,9,10,16,0,36-40,"Below N50,000",Bank G,Female,Bank G,Aba,Secondary school leaving certificate,Self Employed,No,,
781,33,75000,17,6,6,2,0.5,13,18,62,36,10,0,2,31-35,"N50,000 - N100,000",Bank B,Female,Bank B,Aba,Master's Degree,Self Employed,No,,
782,38,75000,13,6,30,0.5,30,36,10,60,0,0,0,1,36-40,"N50,000 - N100,000",Bank L,Male,Bank L,Aba,OND/HND,Self Employed,No,,
807,65,75000,16,6,2,0,0,54,8,120,34,36,20,2,Above 60,"N50,000 - N100,000",Bank I,Female,,Aba,OND/HND,Retired,No,,
819,50.5,375000,4,30,30,30,6,0,14,90,20,57,30,1,41-60,"N251,000 - N500,000",,Male,,Aba,Master's Degree,Private Sector Employee,No,,
820,50.5,375000,9,30,30,30,6,18,14,100,20,57,30,1,41-60,"N251,000 - N500,000",Bank G,Male,,Aba,Master's Degree,Private Sector Employee,No,,
821,50.5,375000,6,30,30,30,6,0,14,100,20,57,20,1,41-60,"N251,000 - N500,000",Bank E,Male,,Aba,Master's Degree,Private Sector Employee,No,,
822,50.5,375000,9,30,30,30,6,0,14,100,20,57,30,1,41-60,"N251,000 - N500,000",Bank N,Male,,Aba,Master's Degree,Private Sector Employee,No,,
826,33,25000,7,6,2,0.5,0.5,12,27,130,15,0,18,3,31-35,"Below N50,000",Bank H,Female,Bank H,Aba,Secondary school leaving certificate,Civil/Public Servant,No,,
827,33,25000,8,6,2,0.5,0.5,30,27,140,21,0,-9,0,31-35,"Below N50,000",Bank B,Female,Bank H,Aba,Secondary school leaving certificate,Civil/Public Servant,No,,
834,38,375000,5,6,6,6,6,21,15,34,0,10,0,0,36-40,"N251,000 - N500,000",Bank L,Male,Bank D,Aba,OND/HND,Private Sector Employee,No,,
835,38,375000,7,6,6,6,6,31,5,34,20,22,0,0,36-40,"N251,000 - N500,000",Bank D,Male,Bank D,Aba,OND/HND,Private Sector Employee,No,,
837,19,25000,4,6,6,0.5,0,51,11,80,4,4,0,0,18-20,"Below N50,000",Bank N,Female,Bank N,Aba,Secondary school leaving certificate,Student,No,,
846,38,175000,11,6,30,6,30,6,15,90,21,40,30,1,36-40,"N101,000 - N250,000",Bank L,Male,Bank L,Aba,OND/HND,Self Employed,No,,
847,38,175000,7,6,30,6,30,6,0,80,31,0,20,1,36-40,"N101,000 - N250,000",Bank C,Male,Bank L,Aba,OND/HND,Self Employed,No,,
848,38,175000,11,6,30,6,30,6,7,100,21,30,20,1,36-40,"N101,000 - N250,000",Bank G,Male,Bank L,Aba,OND/HND,Self Employed,No,,
851,33,75000,6,6,6,6,6,16,14,120,0,20,0,0,31-35,"N50,000 - N100,000",Bank L,Female,Bank L,Aba,OND/HND,Civil/Public Servant,No,,
852,33,75000,5,6,6,6,6,22,14,110,20,12,10,0,31-35,"N50,000 - N100,000",Bank J,Female,Bank L,Aba,OND/HND,Civil/Public Servant,No,,
856,33,75000,4,6,6,6,6,14,30,60,30,40,20,3,31-35,"N50,000 - N100,000",Bank O,Female,Bank D,Aba,OND/HND,Civil/Public Servant,No,,
857,33,75000,6,6,6,6,6,20,23,70,10,40,20,3,31-35,"N50,000 - N100,000",Bank D,Female,Bank D,Aba,OND/HND,Civil/Public Servant,No,,
859,33,75000,1,30,30,6,6,32,15,30,30,7,7,1,31-35,"N50,000 - N100,000",Bank C,Female,Bank C,Aba,OND/HND,Civil/Public Servant,No,,
876,33,75000,10,30,30,0.5,30,82,8,180,60,20,20,1,31-35,"N50,000 - N100,000",Bank D,Male,Bank D,Aba,OND/HND,Private Sector Employee,No,,
877,33,75000,3,30,30,0.5,30,52,8,170,20,20,0,1,31-35,"N50,000 - N100,000",Bank L,Male,Bank D,Aba,OND/HND,Private Sector Employee,No,,
888,38,75000,6,6,30,0,0,9,10,120,0,6,12,0,36-40,"N50,000 - N100,000",Bank H,Male,Bank H,Aba,OND/HND,Private Sector Employee,No,,
905,38,75000,15,2,0.5,0,0,0,16,110,30,10,10,2,36-40,"N50,000 - N100,000",Bank B,Male,Bank B,Aba,OND/HND,Civil/Public Servant,No,,
906,38,75000,5,2,0.5,0,0,0,0,20,30,0,10,0,36-40,"N50,000 - N100,000",Bank C,Male,Bank B,Aba,OND/HND,Civil/Public Servant,No,,
915,25.5,25000,6,6,30,0.5,0,60,40,120,36,40,20,3,21-30,"Below N50,000",Bank D,Female,Bank D,Aba,OND/HND,Student,No,,
962,33,75000,7,6,6,0,0,25,15,18,0,20,0,0,31-35,"N50,000 - N100,000",Bank Q,Female,Bank Q,Aba,OND/HND,Civil/Public Servant,No,,
971,33,75000,7,6,6,0.5,0.5,5,12,60,30,10,0,0,31-35,"N50,000 - N100,000",Bank G,Female,Bank G,Aba,Bachelor's Decree,Private Sector Employee,No,,
979,33,75000,7,30,30,30,30,0,10,52,20,24,20,1,31-35,"N50,000 - N100,000",Bank C,Female,Bank C,Aba,OND/HND,Civil/Public Servant,No,,
986,25.5,25000,3,6,30,0.5,2,0,0,102,30,-10,0,0,21-30,"Below N50,000",Bank A,Female,Bank A,Aba,Secondary school leaving certificate,Civil/Public Servant,No,,
987,38,175000,6,6,6,0.5,0,30,0,26,40,40,0,0,36-40,"N101,000 - N250,000",Bank D,Female,Bank D,Aba,Bachelor's Decree,Self Employed,No,,
988,38,175000,6,6,6,0.5,0,30,10,54,40,40,10,3,36-40,"N101,000 - N250,000",Bank N,Female,Bank D,Aba,Bachelor's Decree,Self Employed,No,,
990,33,75000,9,6,30,6,6,32,8,20,40,10,8,0,31-35,"N50,000 - N100,000",Bank L,Female,Bank L,Aba,OND/HND,Civil/Public Servant,No,,
991,38,175000,13,30,6,6,2,0,7,50,40,7,14,2,36-40,"N101,000 - N250,000",Bank B,Male,Bank B,Aba,OND/HND,Private Sector Employee,No,,
992,38,175000,15,30,6,6,2,0,0,36,40,14,14,2,36-40,"N101,000 - N250,000",Bank I,Male,Bank B,Aba,OND/HND,Private Sector Employee,No,,
993,38,175000,7,30,6,6,2,4,0,32,40,21,14,2,36-40,"N101,000 - N250,000",Bank N,Male,Bank B,Aba,OND/HND,Private Sector Employee,No,,
995,33,175000,5,6,6,2,0,9,8,77,7,20,0,0,31-35,"N101,000 - N250,000",Bank N,Female,Bank N,Aba,Bachelor's Decree,Private Sector Employee,No,,
996,33,175000,3,6,6,2,0,5,12,9,20,20,-6,0,31-35,"N101,000 - N250,000",Bank L,Female,Bank N,Aba,Bachelor's Decree,Private Sector Employee,No,,
1000,19,25000,7,6,2,0,0,22,0,0,-24,-16,-20,0,18-20,"Below N50,000",Bank G,Male,,Aba,OND/HND,Student,Yes,Bank G,
1005,33,175000,10,6,30,2,0,32,0,26,8,-20,-7,0,31-35,"N101,000 - N250,000",Bank C,Male,Bank G,Aba,OND/HND,Self Employed,No,,
1006,33,175000,7,6,30,2,0,24,0,42,8,-20,-7,0,31-35,"N101,000 - N250,000",Bank G,Male,Bank G,Aba,OND/HND,Self Employed,No,,
1007,33,175000,17,6,30,2,0,13,20,23,8,-20,0,0,31-35,"N101,000 - N250,000",Bank I,Male,Bank G,Aba,OND/HND,Self Employed,No,,
1013,25.5,25000,5,6,6,0,0,20,16,69,20,24,10,0,21-30,"Below N50,000",Bank J,Male,Bank J,Aba,OND/HND,Student,No,,
1014,19,25000,14,2,30,0.5,0,-12,-6,-30,40,0,-30,0,18-20,"Below N50,000",Bank N,Female,Bank N,Aba,PHD,Student,No,,
1025,65,75000,16,6,6,0.5,0,16,30,60,20,12,7,2,Above 60,"N50,000 - N100,000",Bank I,Female,Bank C,Aba,OND/HND,Retired,No,,
1026,65,75000,9,6,6,0.5,0,16,30,88,10,26,7,2,Above 60,"N50,000 - N100,000",Bank C,Female,Bank C,Aba,OND/HND,Retired,No,,
1033,38,375000,2,2,6,0.5,0.5,120,60,180,0,8,10,3,36-40,"N251,000 - N500,000",Bank D,Female,,Aba,PHD,Civil/Public Servant,No,,
1040,33,25000,12,6,6,0.5,0,20,60,2,28,7,20,3,31-35,"Below N50,000",Bank I,Female,Bank I,Aba,Secondary school leaving certificate,Civil/Public Servant,No,,
1049,33,25000,3,6,6,0.5,6,14,40,90,30,30,-10,3,31-35,"Below N50,000",Bank D,Female,Bank N,Aba,No Response,Self Employed,No,,
1050,33,25000,6,6,6,0.5,6,24,10,100,20,20,-10,0,31-35,"Below N50,000",Bank N,Female,Bank N,Aba,No Response,Self Employed,No,,
1051,33,25000,4,6,6,0.5,6,27,40,70,30,0,-10,0,31-35,"Below N50,000",Bank L,Female,Bank N,Aba,No Response,Self Employed,No,,
1058,25.5,25000,2,0.5,6,0.5,0,88,38,42,60,-30,0,3,21-30,"Below N50,000",Bank B,Male,Bank C,Aba,Bachelor's Decree,Self Employed,No,,
1059,25.5,25000,4,0.5,6,0.5,0,67,38,60,60,-30,0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Aba,Bachelor's Decree,Self Employed,No,,
1064,25.5,25000,5,6,6,0,0,60,20,107,16,7,10,3,21-30,"Below N50,000",Bank P,Female,,Aba,Secondary school leaving certificate,Self Employed,No,,
1065,25.5,25000,3,2,2,0,0,40,20,60,18,25,20,3,21-30,"Below N50,000",Bank I,Male,,Aba,Secondary school leaving certificate,Student,No,,
1066,25.5,75000,8,0.5,6,0.5,6,80,50,-1,60,60,30,3,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Aba,Bachelor's Decree,Private Sector Employee,Yes,Bank B,Bank A
1067,25.5,75000,2,0.5,6,0.5,6,110,60,105,60,60,10,3,21-30,"N50,000 - N100,000",Bank D,Male,Bank C,Aba,Bachelor's Decree,Private Sector Employee,Yes,Bank B,Bank A
1068,25.5,75000,5,0.5,6,0.5,6,20,30,122,60,20,30,3,21-30,"N50,000 - N100,000",Bank B,Male,Bank C,Aba,Bachelor's Decree,Private Sector Employee,Yes,Bank B,Bank A
1069,25.5,75000,3,0.5,6,0.5,6,60,40,63,40,20,20,3,21-30,"N50,000 - N100,000",Bank Q,Male,Bank C,Aba,Bachelor's Decree,Private Sector Employee,Yes,Bank B,Bank A
1073,25.5,25000,4,6,6,0.5,0,10,10,25,36,16,7,0,21-30,"Below N50,000",Bank C,Male,Bank C,Aba,OND/HND,Unemployed,No,,
1075,50.5,75000,15,2,2,0,0,20,0,49,40,0,10,2,41-60,"N50,000 - N100,000",Bank B,Female,Bank B,Aba,Master's Degree,Civil/Public Servant,No,,
1083,38,75000,1,2,2,0,0,-24,20,39,30,19,-10,0,36-40,"N50,000 - N100,000",Bank B,Female,Bank I,Aba,Bachelor's Decree,Civil/Public Servant,No,,
1084,38,75000,32,2,2,0,0,36,40,69,30,19,0,2,36-40,"N50,000 - N100,000",Bank I,Female,Bank I,Aba,Bachelor's Decree,Civil/Public Servant,No,,
1085,50.5,75000,15,2,6,0.5,0,54,54,77,1,-20,-10,2,41-60,"N50,000 - N100,000",Bank C,Female,Bank C,Aba,Master's Degree,Civil/Public Servant,No,,
1086,50.5,75000,1,2,6,0.5,0,56,54,77,1,-20,-10,0,41-60,"N50,000 - N100,000",Bank A,Female,Bank C,Aba,Master's Degree,Civil/Public Servant,No,,
1087,50.5,75000,3,2,6,0.5,0,56,54,77,-8,-40,-20,0,41-60,"N50,000 - N100,000",Bank K,Female,Bank C,Aba,Master's Degree,Civil/Public Servant,No,,
1091,33,75000,6,2,6,0,0,58,44,101,26,24,10,3,31-35,"N50,000 - N100,000",Bank H,Female,Bank G,Aba,Bachelor's Decree,Private Sector Employee,No,,
1092,33,75000,6,2,6,0,0,-63,-18,23,26,24,10,0,31-35,"N50,000 - N100,000",Bank D,Female,Bank G,Aba,Bachelor's Decree,Private Sector Employee,No,,
1093,33,75000,1,2,6,0,0,58,44,113,26,24,20,3,31-35,"N50,000 - N100,000",Bank G,Female,Bank G,Aba,Bachelor's Decree,Private Sector Employee,No,,
1094,38,25000,28,2,30,0,6,0,7,-12,30,0,0,2,36-40,"Below N50,000",Bank L,Male,Bank B,Aba,Master's Degree,Student,No,,
1095,38,25000,9,2,30,0,6,0,14,16,10,0,16,0,36-40,"Below N50,000",Bank C,Male,Bank B,Aba,Master's Degree,Student,No,,
1096,38,25000,4,2,30,0,6,0,7,22,20,0,16,0,36-40,"Below N50,000",Bank A,Male,Bank B,Aba,Master's Degree,Student,No,,
1097,33,75000,15,6,6,0.5,0,3,0,17,36,0,6,0,31-35,"N50,000 - N100,000",Bank L,Male,Bank C,Aba,Bachelor's Decree,Civil/Public Servant,No,,
1098,33,75000,4,6,6,0.5,0,16,19,30,36,20,6,0,31-35,"N50,000 - N100,000",Bank G,Male,Bank C,Aba,Bachelor's Decree,Civil/Public Servant,No,,
1099,33,75000,7,6,6,0.5,0,29,26,23,36,20,6,0,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Aba,Bachelor's Decree,Civil/Public Servant,No,,
1117,25.5,75000,8,6,6,0,0,5,0,2,15,-12,0,0,21-30,"N50,000 - N100,000",Bank L,Female,Bank J,Aba,OND/HND,Student,Yes,,
1118,25.5,75000,8,6,6,0,0,-11,-9,34,20,-5,0,0,21-30,"N50,000 - N100,000",Bank J,Female,Bank J,Aba,OND/HND,Student,Yes,,
1119,25.5,75000,2,6,6,0,0,32,12,-10,25,0,0,0,21-30,"N50,000 - N100,000",Bank P,Female,Bank J,Aba,OND/HND,Student,Yes,,
1120,25.5,75000,3,6,6,0,0,89,24,64,25,0,0,0,21-30,"N50,000 - N100,000",Bank A,Female,Bank J,Aba,OND/HND,Student,Yes,,
1128,25.5,75000,5,2,6,0.5,6,29,20,60,30,10,0,0,21-30,"N50,000 - N100,000",Bank B,Male,Bank N,Aba,Master's Degree,Student,No,,
1129,25.5,75000,8,2,6,0.5,6,44,30,80,30,10,-7,0,21-30,"N50,000 - N100,000",Bank M,Male,Bank N,Aba,Master's Degree,Student,No,,
1130,25.5,75000,2,2,6,0.5,6,67,60,90,30,10,0,3,21-30,"N50,000 - N100,000",Bank N,Male,Bank N,Aba,Master's Degree,Student,No,,
1135,50.5,175000,11,2,0.5,0,6,120,39,100,40,20,8,2,41-60,"N101,000 - N250,000",Bank H,Female,Bank N,Aba,Bachelor's Decree,Private Sector Employee,No,,
1136,50.5,175000,5,2,0.5,0,6,60,20,40,40,10,8,2,41-60,"N101,000 - N250,000",Bank D,Female,Bank N,Aba,Bachelor's Decree,Private Sector Employee,No,,
1139,50.5,175000,15,6,6,0.5,0,64,60,95,54,0,16,2,41-60,"N101,000 - N250,000",Bank B,Female,Bank B,Aba,Master's Degree,Civil/Public Servant,No,,
1140,50.5,175000,10,6,6,0.5,0,37,20,69,36,6,8,2,41-60,"N101,000 - N250,000",Bank A,Female,Bank B,Aba,Master's Degree,Civil/Public Servant,No,,
1161,25.5,25000,1,2,6,2,6,54,20,49,60,18,7,3,21-30,"Below N50,000",Bank C,Female,Bank C,Aba,OND/HND,Student,No,,
1162,33,25000,8,2,2,0,0,51,26,32,26,0,0,0,31-35,"Below N50,000",Bank B,Male,,Aba,Secondary school leaving certificate,Self Employed,No,,
1165,25.5,25000,4,6,30,0,2,0,17,-1,24,22,0,0,21-30,"Below N50,000",Bank G,Female,Bank C,Aba,OND/HND,Student,No,,
1166,25.5,25000,2,6,30,0,2,23,17,47,24,23,0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Aba,OND/HND,Student,No,,
1169,38,75000,5,2,2,0,0.5,68,38,87,39,25,10,3,36-40,"N50,000 - N100,000",Bank A,Male,Bank B,Aba,Bachelor's Decree,Others,No,,
1173,25.5,75000,2,6,30,30,6,7,-10,39,57,0,-20,1,21-30,"N50,000 - N100,000",Bank B,Male,Bank I,Aba,Bachelor's Decree,Private Sector Employee,No,,
1174,25.5,75000,1,6,30,30,6,33,36,29,57,0,0,1,21-30,"N50,000 - N100,000",Bank C,Male,Bank I,Aba,Bachelor's Decree,Private Sector Employee,No,,
1175,25.5,75000,7,6,30,30,6,34,18,70,57,0,10,1,21-30,"N50,000 - N100,000",Bank I,Male,Bank I,Aba,Bachelor's Decree,Private Sector Employee,No,,
1176,25.5,75000,10,6,30,30,6,46,18,27,57,0,-10,1,21-30,"N50,000 - N100,000",Bank N,Male,Bank I,Aba,Bachelor's Decree,Private Sector Employee,No,,
1177,25.5,25000,5,2,2,0,0,1,16,31,60,10,7,0,21-30,"Below N50,000",Bank D,Female,Bank D,Aba,OND/HND,Student,No,,
1179,65,75000,30,2,2,0.5,0,70,38,90,17,0,0,2,Above 60,"N50,000 - N100,000",Bank A,Male,Bank B,Aba,Master's Degree,Retired,No,,
1183,33,175000,3,2,0.5,0.5,0,32,20,-12,38,25,9,0,31-35,"N101,000 - N250,000",Bank D,Male,Bank Q,Aba,Bachelor's Decree,Self Employed,No,,
1184,33,175000,9,2,0.5,0.5,0,87,20,152,47,25,18,3,31-35,"N101,000 - N250,000",Bank Q,Male,Bank Q,Aba,Bachelor's Decree,Self Employed,No,,
1186,25.5,25000,7,2,0.5,0,0,0,20,60,30,40,20,3,21-30,"Below N50,000",Bank B,Female,Bank K,Aba,OND/HND,Civil/Public Servant,No,,
1187,38,175000,15,2,6,0.5,0,33,18,42,20,18,20,2,36-40,"N101,000 - N250,000",Bank K,Female,Bank K,Aba,Master's Degree,Civil/Public Servant,No,,
1189,38,25000,23,6,6,0,0,52,20,81,30,8,0,2,36-40,"Below N50,000",Bank B,Male,,Aba,OND/HND,Civil/Public Servant,No,,
1190,50.5,175000,20,2,0.5,0,0,21,16,59,20,20,10,2,41-60,"N101,000 - N250,000",Bank I,Male,,Aba,Master's Degree,Civil/Public Servant,No,,
1192,25.5,25000,4,6,6,0,0,40,20,0,40,40,20,3,21-30,"Below N50,000",Bank J,Male,Bank J,Aba,Secondary school leaving certificate,Student,No,,
1199,25.5,25000,4,2,6,0.5,2,56,19,37,33,7,-8,0,21-30,"Below N50,000",Bank B,Male,,Aba,OND/HND,Student,No,,
1204,25.5,25000,3,0.5,2,0,6,59,16,96,24,0,6,0,21-30,"Below N50,000",Bank N,Male,Bank N,Aba,OND/HND,Student,No,,
1209,25.5,25000,10,6,6,0.5,2,18,13,28,20,-4,8,0,21-30,"Below N50,000",Bank J,Male,Bank C,Aba,OND/HND,Student,No,,
1210,25.5,25000,8,6,6,0.5,2,22,18,31,50,7,8,0,21-30,"Below N50,000",Bank C,Male,Bank C,Aba,OND/HND,Student,No,,
1211,25.5,75000,8,2,6,0.5,6,43,48,66,18,18,27,3,21-30,"N50,000 - N100,000",Bank Q,Male,Bank Q,Aba,Secondary school leaving certificate,Private Sector Employee,No,,
1212,25.5,75000,2,2,6,0.5,6,40,32,50,18,18,9,0,21-30,"N50,000 - N100,000",Bank A,Male,Bank Q,Aba,Secondary school leaving certificate,Private Sector Employee,No,,
1224,50.5,75000,20,6,6,0,0,110,40,60,36,10,8,2,41-60,"N50,000 - N100,000",Bank Q,Female,,Aba,Secondary school leaving certificate,Self Employed,No,,
1225,38,175000,10,30,6,0.5,0,92,22,85,60,21,0,2,36-40,"N101,000 - N250,000",Bank A,Male,Bank I,Aba,Primary School leaving certificate,Self Employed,No,,
1226,38,175000,18,30,6,0.5,0,92,31,146,50,35,7,2,36-40,"N101,000 - N250,000",Bank I,Male,Bank I,Aba,Primary School leaving certificate,Self Employed,No,,
1227,50.5,75000,10,2,6,0.5,0,24,20,41,37,-10,0,2,41-60,"N50,000 - N100,000",Bank F,Male,Bank I,Aba,Bachelor's Decree,Private Sector Employee,No,,
1228,50.5,75000,8,2,6,0.5,0,56,20,65,37,-10,0,2,41-60,"N50,000 - N100,000",Bank I,Male,Bank I,Aba,Bachelor's Decree,Private Sector Employee,No,,
1229,50.5,175000,12,2,0.5,0,0.5,0,-20,39,19,-9,-7,0,41-60,"N101,000 - N250,000",Bank B,Male,Bank B,Aba,Master's Degree,Civil/Public Servant,No,,
1230,33,75000,13,2,6,0.5,6,30,30,20,20,10,0,0,31-35,"N50,000 - N100,000",Bank H,Male,Bank H,Aba,Bachelor's Decree,Private Sector Employee,No,,
1231,33,75000,8,2,6,0.5,6,40,20,30,20,20,0,0,31-35,"N50,000 - N100,000",Bank P,Male,Bank H,Aba,Bachelor's Decree,Private Sector Employee,No,,
1242,33,75000,7,2,6,0,0,48,42,63,-9,0,0,0,31-35,"N50,000 - N100,000",Bank A,Male,,Aba,OND/HND,Private Sector Employee,No,,
1254,25.5,25000,1,6,6,0.5,0,22,17,59,9,0,0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Aba,OND/HND,Student,No,,
1258,25.5,75000,3,6,6,0,0,33,8,65,29,0,0,0,21-30,"N50,000 - N100,000",Bank Q,Male,Bank A,Aba,Secondary school leaving certificate,No Response,No,,
1259,25.5,75000,5,6,6,0,0,30,17,72,47,-10,-10,0,21-30,"N50,000 - N100,000",Bank A,Male,Bank A,Aba,Secondary school leaving certificate,No Response,No,,
1260,25.5,25000,3,0.5,2,0,6,22,17,26,50,12,7,0,21-30,"Below N50,000",Bank B,Female,,Aba,OND/HND,Student,No,,
1263,25.5,75000,3,6,6,0,0,33,8,65,29,0,0,0,21-30,"N50,000 - N100,000",Bank Q,Male,Bank A,Aba,Secondary school leaving certificate,Self Employed,No,,
1264,25.5,75000,5,6,6,0,0,30,17,72,47,-10,-10,0,21-30,"N50,000 - N100,000",Bank A,Male,Bank A,Aba,Secondary school leaving certificate,Self Employed,No,,
1265,25.5,25000,3,0.5,2,0,6,22,17,26,50,12,7,0,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,OND/HND,Student,No,,
1266,33,175000,16,6,6,2,2,70,27,50,32,0,-8,2,31-35,"N101,000 - N250,000",Bank B,Female,Bank B,Aba,Master's Degree,Self Employed,No,,
1267,33,175000,5,6,6,2,2,70,27,84,32,16,8,3,31-35,"N101,000 - N250,000",Bank E,Female,Bank B,Aba,Master's Degree,Self Employed,No,,
1268,25.5,75000,6,0.5,6,0.5,0,58,20,16,15,20,10,0,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Aba,Bachelor's Decree,Student,No,,
1269,25.5,75000,2,0.5,6,0.5,0,38,10,-9,15,20,10,0,21-30,"N50,000 - N100,000",Bank N,Male,Bank C,Aba,Bachelor's Decree,Student,No,,
1274,38,75000,3,6,6,0,0.5,30,20,30,20,0,0,0,36-40,"N50,000 - N100,000",Bank J,Male,Bank B,Aba,OND/HND,Private Sector Employee,No,,
1275,38,75000,17,6,6,0,0.5,30,20,50,20,0,0,2,36-40,"N50,000 - N100,000",Bank B,Male,Bank B,Aba,OND/HND,Private Sector Employee,No,,
1276,25.5,75000,2,6,6,0.5,6,47,20,52,20,17,30,3,21-30,"N50,000 - N100,000",Bank D,Male,Bank B,Aba,Bachelor's Decree,Self Employed,Yes,Bank B,Bank C
1277,25.5,75000,7,6,6,0.5,6,-48,-60,-92,20,3,-30,0,21-30,"N50,000 - N100,000",Bank B,Male,Bank B,Aba,Bachelor's Decree,Self Employed,Yes,Bank B,Bank C
1288,25.5,25000,10,2,2,0.5,0,19,9,27,10,14,0,0,21-30,"Below N50,000",Bank C,Female,Bank C,Aba,Bachelor's Decree,Private Sector Employee,Yes,Bank N,Bank C
1289,25.5,25000,1,2,2,0.5,0,-14,-9,-30,0,0,0,0,21-30,"Below N50,000",Bank N,Female,Bank C,Aba,Bachelor's Decree,Private Sector Employee,Yes,Bank N,Bank C
1294,25.5,25000,10,2,6,0,2,49,0,33,16,32,0,0,21-30,"Below N50,000",Bank B,Male,Bank B,Aba,OND/HND,Student,No,,
1295,25.5,25000,5,2,6,0,2,25,0,25,16,24,0,0,21-30,"Below N50,000",Bank D,Male,Bank B,Aba,OND/HND,Student,No,,
1303,25.5,175000,4,6,6,2,30,79,48,100,50,37,21,1,21-30,"N101,000 - N250,000",Bank A,Female,Bank A,Aba,OND/HND,Student,No,,
1304,25.5,175000,8,6,6,2,30,7,-11,64,50,27,-14,1,21-30,"N101,000 - N250,000",Bank B,Female,Bank A,Aba,OND/HND,Student,No,,
1305,25.5,175000,5,6,6,2,30,47,-2,7,50,34,7,1,21-30,"N101,000 - N250,000",Bank N,Female,Bank A,Aba,OND/HND,Student,No,,
1323,25.5,25000,6,2,6,0.5,0,26,5,68,30,0,10,0,21-30,"Below N50,000",Bank C,Male,Bank C,Aba,OND/HND,Student,No,,
1327,38,175000,15,30,6,0,0,49,17,31,48,24,7,2,36-40,"N101,000 - N250,000",Bank B,Female,Bank B,Aba,Secondary school leaving certificate,Self Employed,No,,
1328,38,175000,10,30,6,0,0,41,17,47,48,16,7,2,36-40,"N101,000 - N250,000",Bank A,Female,Bank B,Aba,Secondary school leaving certificate,Self Employed,No,,
1334,65,75000,12,2,2,0,0,60,60,100,16,8,8,2,Above 60,"N50,000 - N100,000",Bank N,Female,,Aba,Bachelor's Decree,Retired,No,,
1335,25.5,25000,3,6,2,0,0,6,20,46,-8,9,0,0,21-30,"Below N50,000",Bank A,Male,,Aba,OND/HND,Student,No,,
